"— Я хотел бы вернуть это. Я этим не пользовался.
— Это ваш диплом.
— Можно наличкой.",2357,285
"Британские учёные доказали своё существование.",1806,197
"Диалог, которому уже 38 лет:
— Я завтра иду на Звездные Войны.
— Снова? Ты ведь их уже смотрел.",2001,169
"— Я поклонник здорового питания.
— Ты жрешь все подряд.
— Разве это не здорово?",3904,614
"Если хочешь унизить человека, перепости его заметку, подписав «Орфография и пунктуация сохранены».",2228,197
"Сказать девушке, что работаешь допоздна, на работе — что увольняешься, друзьям— что уехал с девушкой в романтическое путешествие, кошке — что она приемная, гномикам на чердаке, что сахара для них больше не будет, а самому на месяц лечь в психдиспансер.",2337,270
"У хорошего отца не может быть любимчиков. Все дети должны получать одинаковые алименты.",1755,134
"У меня плохое зрение и я ношу очки. Часто люди отбирают их у меня, примеряют и спрашивают: "Ну что, мне идет?". Что я должен вам ответить, загадочные говорящие пятна?!",3423,403
"Если тебя сошлют в Сибирь, я, конечно, пойду вместе с тобой, но шубу надо бы купить заранее.",1844,167
"Кот настоящего футболиста никогда не спит клубком.",2203,267
"На зачете по философии студент доказал преподавателю, что никаких лекций не было.",3204,390
"Сдал тест на IQ. Слава богу, результат отрицательный.",1814,237
"Великобритания - это простонародное название Велосипедобритании.",2115,266
"Ничто так не бодрит с утра, как чашечка вылетевшая из коленного сустава.",1978,225
"Красота требует жрать.",2052,214
"Сворачиваешь такой горы для своей девушки... а она не любит оригами.",1928,165
"Засыпаю как убитый. Просыпаюсь как убитый.",2541,359
"Мы поняли что наш сын буддист, когда из дома стали пропадать суета и страдания.",2932,363
"Да нормально я к людям отношусь! У меня даже есть друзья-люди.",3041,445
"- Дайте мне бутылку вина.
- С собой?
- Нет, без вас.",3486,410
"- Подсудимый, клянетесь ли вы говорить правду, только правду и ничего, кроме правды?
- Клянусь, толстая женщина с усиками.
Ksenia Polyanskaya",3088,316
"Время сейчас тяжелое, хорошо оплачиваемую работу найти трудно, поэтому я начал вкладываться в акции. Например, сегодня акция в "Пятерочке" - яблоки всего по 47 рублей за кило.",1883,181
"Порхай как бабочка, жаль как пчела, валяйся как тюлень.",1924,222
"",1818,148
"Семья — это здорово. Это как иметь скучных друзей, которых ты постоянно бесишь.",2348,214
"Мне нравится умеренность. Особенно, когда её дохера.",1858,217
"Как-то раз ученики сидели с удочками на берегу и ловили рыбу. Подошёл Учитель.
- Не клюёт? – спросил он.
- Не клюёт, - со вздохом сказали ученики.
- И не будет, - сказал Учитель. – У рыб нет клюва.",3423,480
"Несчастные люди, истерично постящие радостные картинки про пятницу. Зачем вы вообще живёте, если не можете прибухнуть когда самим захочется?",2112,188
"— Доктор, а это не больно?
— Для кого как.
— В смысле?
— Ну пациентам больно, а мне нет.",2223,257
"Отношения подобны детской доске-качалке. Если одному из двух стало скучно или кто-то слишком жирный — веселья не будет.",2085,218
"Быть студентом не только очень интересно, но и не очень.",1855,161
"— Нет.
— Вы когда-нибудь путешествовали во времени?",2015,241
"Остальные знаки зодиака ещё под вопросом.",1911,207
"— Это ваша собака?
— Нет, она приемная. К сожалению, врачи сказали, что мы не можем иметь собак.",3439,393
"Если бы в программистах была хоть капля человечности, то они бы сделали так, чтобы когда нажимаешь кнопку «Пожаловаться», выскакивала надпись «Да ты ж мой бедненький котик!»",2828,341
"Раньше было лучше. Например, вчера было воскресенье.",2521,331
"— Поставьте зачет автоматом!
— Докажите, что вы не робот и назовите тему последней лекции.",2120,180
"Ааа - крокодилы, бегемоты! Ааа - обезьяны, кашалоты! Ааа - где этот чертов выход из зоопарка?!",2057,191
"Что делать, если у вас кончились деньги:
1) Взять 5 000 в долг и сфотографироваться с ними
2) Организовать бизнес-треннинг",1958,189
"Зачем тебе личная жизнь, если ты и с обычной не знаешь, что делать.",2377,243
"- А ты давно кактус на холодильнике поливала?
- Это хлеб.",2754,322
"— Когда пройдёт эта черная полоса?
— Это не полоса. Это фон.",2106,270
"В двухмерном мире дворняжек называют Кружок.",2555,347
"Я отдал школе 10 лет жизни, а она научила меня всего трем вещам: песать и счетать.",1964,212
"Уехала покарать Москву.",1852,157
"Я сова. Я могу на 270 градусов повернуть голову жаворонку с перфоратором.",3391,498
"Интересный факт: Серьёзный разговор невозможен, если рядом топчется утка.",2282,251
"— С добрым утром!
— Ты отталкивающе весел.",2446,287
"Земля на 70 % покрыта водой. Остальные 30% покрыты идиотами.",2016,224
"Все эти новогодние грузовики Кока-колы водят обычные люди. Голодные, уставшие, со старым фото полуголой Наташи Королевой на приборной панели.",2107,197
"При встрече с медведем, притворитесь мертвым, а потом притворитесь, что воскресли. Медведь либо начнёт поклоняться вам, либо станет отрицать ваше существование.",2788,372
"Ничто так не помогает найти компромисс, как наличие компромата.",2584,327
"Работа в команде очень важна. Она позволяет свалить вину на другого.",1998,229
"Пьяная шахматистка приползла домой на четвереньках, утверждая, что королева как хочет, так и ходит.",2986,338
"Некоторые не занимаются сексом так долго, что начинают организовывать товарищества собственников жилья.",1826,134
"— Я дизайнер и диджей.
— Выздоравливай.",2049,199
"В семье не без гуманитария.",2392,310
"Произвёл переоценку мироздания. Смысл всех пословиц и поговорок в полной мере раскрывается только тогда, когда добавляешь к ним в конце "чтобы выжить".",2069,300
"Курение, вызывает Рак, Курение, вызывает Рак, как слышно? Кто вообще придумал эти позывные?",2737,346
"Я вполне уравнобешенный человек.",1917,236
"Я художник, я так ненавижу.",2362,265
"— Ваш сын нам постоянно лжёт.
— Это не мой сын.",1954,158
"Из-за необходимости постоянно делиться, многие клетки стали нервными.",2596,377
"— Да как тебе вообще удалось так себя запустить?!
— Самым трудным было незаметно пробраться в ракету.",1990,230
"— Мне хочется всех убить!
— Сходи к психологу.
— Психологов я уже убивал, не помогает.",2350,290
"Однажды один очень мудрый человек ничего не сказал.",3201,458
"Я честный, но стеснительный. Поэтому я думаю людям правду в лицо.",2635,295
"— У вас в резюме сказано, что ваша сильная черта — таинственность. Хотите что-нибудь добавить?
— Прочти ответ в моих бездонных карих глазах..",1926,209
"Я, список дел прочтя до середины,
Вдруг очутился в позе эмбриона на полу.",2123,250
"– Врача!!! Егонная голова в крови!!! Тута ихний снайпер! Санитар, мы здеся!
– Почему ты просто меня не добьешь?",2455,293
"Цыганский GPS показывает на карте дальнюю дорогу, казенный дом и любовь до гроба.",2162,211
"Если посветить фонариком в небо, то свет останется во Вселенной навсегда.. А ты - нет.",1832,176
"Пока ты сидишь в своём душном офисе, каждую секунду где-то открывают пиво и стучат по столу воблой. Задумайся.",1784,157
"Корнелюк! Я твой корнеотец!",2798,294
"Когда я говорил, что хочу всё и сразу, то не имел в виду проблемы.",2234,273
"Преступность организованная, а ты — нет.",2912,333
"Если вас тянет отдыхать на север, а не на юг, то вы, возможно, мох.",4003,544
"Моя суббота проходила очень хорошо, пока я не понял, что это воскресенье.",3151,403
"- Это вы убили его.
- Вы ничего не докажете!
- 50 селфи на фоне трупа.
- О, вы подписаны на мою страничку.",2193,158
"— А если все прыгнут, ты тоже прыгнешь?
— Мам, я парашютист.",2364,217
"- Официант, всем шампанского за мой счёт!
- Но вы здесь один.
- Я знаю.",1778,129
"",1788,264
"Ты можешь и дальше оставаться неудачником, который никогда ничего не добьется. А можешь прямо сейчас оторвать свою задницу от дивана и поставить вдохновляющий статус вконтакте.",1994,176
"Вежливость в наше время стала такой редкостью, что её часто путают с байкальским осетром.",3238,378
"- У кого четыре глаза, тот похож на водолаза.
- Окулист из вас так себе.",1757,157
"- Почему басисты не любят колеса обозрения?
- Слишком высоко.",2132,221
"Извини, нам надо расстаться, но я хотела бы остаться друзьями с твоей собакой.",2342,192
"– Кем вы видите себя через 5 лет?
– Покажите, куда смотреть.",1994,255
"Только сев на пол в позе лотоса и расслабившись, понимаешь простые вещи... Надо помыть под шкафом, и вон куда делась зарядка от телефона.",3605,486
"Попадаются ведь изредка люди в точно такой же, как у тебя, кофте или на таком же велике. Ничего страшного, правда? Если видишь своего парня с другой, не волнуйся - у неё просто точно такой же парень.",2061,146
"Маленького мальчика, заблудившегося в лесу, воспитали муравьи. Мальчик вырос и ничем не отличался от остальных людей. Только попа у него была кислая, но об этом никто не знал.",2082,177
"— Алло, это сварщики?
— Да.
— Отлично! Сварите мне пельмешек.",1799,159
""Пора немедленно что-то менять!" - подумал я, и уснул.",1922,245
"Старайтесь избегать плохих компаний. В них маленькие зарплаты и глупые начальники.",3324,356
"Сначала ты обзываешь Т9 тупым, потому что он мешает нормально набрать смс, а потом удивляешься, почему Т-1000 послан, чтобы убить тебя.",1955,259
"Вчера ты отмечала хэллоуин, а сегодня ты страшная просто так.",2362,207
"- Ты странный.
- Спасибо, это меня бабушка одевала.",2001,146
"Нашёл на дороге маленькую, еле живую болотную гидру. Отнёс бедняжку в ближайший гидромедцентр.",2525,255
"— Пристрелите его, чтоб не мучился.
— Доктор, у нас частная клиника, а не государственная, здесь так нельзя.",2349,293
"Всегда получаю то, что мне нужно, вместо того, что я хочу.",2737,425
"Никогда не опускай руки, ведь впереди тебя ждет еще так много поводов опустить руки, а ты уже опустил руки.",2744,390
"Бабушка Зигмунда Фрейда связала внуку теплый и длинный.",1923,180
"В детстве мама боялась, что я попаду в плохую компанию, а я вообще ни в какую не попал.",1976,156
"Чуть помедленнее, углеводы! Чуть помедленнее!",2510,263
"— Алло, Серег, у тебя отчество Владимирович ведь?
— Бать, с тобой все в порядке?",2430,179
"Если ты считаешь себя умней других, а другие так не считают, то налицо яркий пример коллективной ошибки.",2811,406
"- В детстве смеялся над басней Крылова про стрекозу и муравья... Не понимал, как можно не заметить, что прошло лето. Сейчас не смешно.",2142,200
"Спасибо, что обратились в наш BDSM-клуб, мы с вами свяжемся.",1961,145
"— Можно мне белого коня? Без принца. Чтобы он приезжал за мной везде. И иногда валялся в моих делах.",2805,366
"HR: ну а есть у вас какие-нибудь хобби?
Я *достаю из кармана чучело хомяка*: таксидермия!
Хомяк: и чревовещание!",1980,235
"Ловкость рук и никакого парня.",2115,84
"Не будите да не будимы будете.",1972,229
"Муж на час подал на развод через 39 минут.
Yulia Stepanova",2238,224
"— Скан договора в приложении, когда ждать денег?
— Скан денег в приложении, когда ждать оригинал договора?",2246,287
"Сказал своему психиатру, что слышу голоса. Он ответил, что у меня нет психиатра.",1828,150
"Меня зовут Саша, но друзья зовут меня бухать.
Alexandra Dyomina",2081,160
"Залил usb порт ноутбука, он пишет что найдено новое оборудование, но не может определить какое. Это ром с колой, глупенький.",2847,285
"- Какие из своих плюсов вы могли бы назвать?
- Резус-фактор.
Olya Navros",2085,251
"Обидно, когда ты злопамятный, но одновременно добрый и быстро отходчивый. Зло помнишь, а отомстить уже не можешь.",3319,441
"То есть ради денег ты каждый день просыпаешься в 7 утра и идешь работать с людьми? У тебя что, совсем гордости нет?",2023,229
"Если вам не удается отремонтировать что-нибудь при помощи скотча, значит у вас мало скотча.",1968,194
"Гороскоп:
Сегодня у вас всё получится. Но через жопу.",2180,309
"Главное в жизни: чтобы донесли до дома. И саморазвитие, конечно.",1974,198
"- Грехи других судить вы так усердно рветесь, начните со своих и до чужих не доберетесь...
- Протест защиты отклонен.",2432,295
"Когда я ем, я ем и ем.",1992,210
"– Доктор, когда я так делаю, мне больно.
– Так не делай.",2638,314
"Теперь стало совершенно не с кем поговорить о культуре блять.",2144,209
"Если ваша борода растёт на север,то это скорее всего мох.",2166,219
"Выслушай женщину — и она твоя! Хочешь ты этого или нет.",1788,152
"Учиться никогда не поздно, а если поздно, то можно включить лампу.",4256,519
"Мир держится на трёх технарях, которые стоят на огромном инженере.",2570,332
"- Мам, я все съел!
- Поэтому мы и хотим, чтобы ты жил отдельно.",3907,453
"Отношение к окружающим сильно зависит от того, зачем они тебя окружили.",4871,838
"— Но ты правда путаешь ругательства!
— Иди убейся об жопу.",2323,201
"Мало кто знает, что Шредингер обожал русские сказки. Особенно радовали его фразы "долго ли, коротко ли", "видимо-невидимо" и, конечно же, "ни жив, ни мертв".",3366,472
"- Слава богу, дозвонился!
- Какой Слава?",1955,175
"– Ты за все заплатишь.
– Да, я понимаю, что такое магазин.
– Тогда проходите.
Sergey Borodinov",2303,197
"Каждый имеет право настаивать на своём.
Лично я настаиваю на рябине.",3392,409
"Хотела упасть в объятия Морфея, но Дионис оказался проворнее.",3939,469
"Послушай женщину, сделай наоборот и прячься.",1798,236
"— Выключи, пожалуйста, свет. Он мне мешает.
— Чем мешает?!
— Я тебя вижу.",1768,143
"— Ты меня любишь?
— Да.
— Если я прыгну, ты тоже прыгнешь?
— Все прыгнут. Ты же самая толстая на этом батуте.",2766,232
"«Золушка» — моя любимая история про то, что если парень принц, то неважно, помнит ли он, как ты выглядишь.",2466,236
"– Ого, это у тебя чистая кожа, без татуировок? А сложно было удержаться? А как родители отреагировали? А как же ты в старости будешь без татуировок?",2956,354
"Если постоянно предполагать наихудший вариант, то всегда будешь либо прав, либо рад, что не прав.",2168,254
"— Ты думаешь ты можешь вот так вот просто вырывать цитаты из контекста?
— Да (Евангелие от Матфея, 6 глава, 27 стих, 1ое слово)
Alexander Mostovoy",2648,294
"- Сестра, скальпель.
- Ты можешь свою сестру хоть раз по человечески попросить нож передать?",2649,225
"Иногда я люблю сидеть на диване и ничего не делать 2 года.",1792,158
"- Папа! Я сделал кормушку для воробьев!
- КАПИТАНОВ ВОРОБЬЕВ!",2084,173
"Природа щедро обделила его всем.",2158,229
"Хорошо живет на свете ви-но-дел!
Nadya Ridchenko",1807,166
"Все люди хотят, чтобы было по ихнему, но по ихнему не будет, потому что нет такого слова.",3421,498
"- Здравствуйте, чем могу вам помочь?
- Скажите мне, что я котик.",2850,360
"Чтобы внуки погостили подольше, бабушка перевела все весы на 5 кг назад.
Grigory Voyner",2136,165
"Лучше поздно, чем как тогда.",3265,387
"Да плюнь ты на свои бицепсы, нормальные пацаны давно уже качают нефть.",2198,221
"Если у вас нет съедобного белья, для сексуальных игр можно использовать пельмени. Хотя если у вас есть пельмени, зачем вам сексуальные игры?",2103,170
"- А1?
- Ранил.
- А2?
- Убил.
- Блин, молодой человек, вам какой формат печатать?!",2445,210
"Работаю довольно редко, а недовольно - каждый день.",3013,333
"— Валентин Степанович, вы очень старомодный начальник.
— Ну что вы, Евстратов, не говорите глупостей. Идите. Леночка, назначьте Евстратову 20 плетей.",2189,247
"- Ты веришь в Бога?
- Верю. У него всё получится!",2623,335
"Никому не даю советов и вам не советую!",2067,254
"— Я на АЗС работаю, я там всем заправляю!",1915,146
"Был в сети 15 минут назад. Еле выпутался.",2470,313
"Каждый, кто любит творчество Есенина, просто обязан в его день рождения читать стихи проституткам и с бандюгами жарить спирт.",2052,229
"Эти подозрительные типы похоже уже разнюхали, что я недавно вылечился от паранойи.
Alexander Mostovoy",1925,202
"Хватит работать!
Это оскорбляет чувства ленивых.
Ivan Vlasov",2438,341
"Менеджер крупной оптовой компании познакомится с девушкой, которая приведет на свидание подругу, которая приведет еще трех человек, которые купят шампунь.",2208,221
"Чтобы понять, что такое карма, вам потребуется:
1. Бумеранг.
Dmitry Katchenko",2009,287
"- Дорогая, может быть все таки сладких апельсинов?
- Убей, убееееееей!",2677,319
"Люблю паникующих людей. Им можно дать пощечину якобы с благими намерениями.",1873,169
"- А можно от вас позвонить?
- Можно. Только колокол не сломай.
Ekaterina Zhezhel",2282,281
"— Может, я дам тебе пару уроков английского?
— I don't need your podachki!",2150,220
"Требуется капитан грузового судна. График работы плавающий.
Artem Loginov",2137,186
"Штраф за вождение хоровода в нетрезвом виде.",2538,286
"— Принеси кофе.
— А по-хорошему попросить не можешь?
— Принеси кофе по-хорошему.",2675,366
"А спонсор этого вечера — угрозы картофелю в огороде.
Угрозы картофелю в огороде — я тебя из-под земли достану, мразь.",2182,168
"Всегда боюсь проходить через металлодетектор. Вдруг у меня бомба.",2022,200
"— Я ни разу не опаздывал на работу.
— В чём твой секрет?
— Я безработный.",1753,137
"Приходит как-то Чехов в гости к Станиславскому и говорит:
— Поставь чайку.",4366,584
"Если какой-то человек пугает вас, подумайте о том, что он на 80% состоит из воды. Вы же не боитесь воды? А стоило бы. Сотни тысяч людей тонут каждый год.",1973,172
"Подмигивая, циклоп выглядел глупо.",1885,163
"Мой любимый вид общения — помолчать с умным, оригинальным человеком.",2018,220
"- Должен признаться, Аркадий, я слежу за тобой уже 4 года и знаю про тебя абсолютно всё!
- Я не Аркадий.",2599,286
"Говорят, тем, кто проработал в «Икее» пять лет, наконец показывают, как выйти и уехать домой.",2399,200
"Моё стройное тело унесло бурное печенье.",3272,345
"Люди с именем Иегова не могут позволить себе совершать преступления. Слишком много свидетелей.",2009,170
"Заместитель, идентичный генеральному.
Vyacheslav Ptitsyn",2647,237
"— Я понимаю, что мы уже расстались, но я хочу расстаться еще раз.",2397,153
"— Она еще увлекается хенд-мейдом, ну знаешь, бусинки всякие... И фотографии винтажные умеет…
— Я дам двух верблюдов, не более!",2806,330
"Не пойму, что мне нравится больше, собирать грибы, или же просто медленно ходить по осеннему лесу с ножом в руке.",6809,984
"Судя по расположению звезд на ваших погонах, вы - козерог?",2140,219
"— Чего изволите?
— А подай-ка нам, голубчик, признаки жизни.",4125,568
"Первое правило клуба прокрастинаторов: создать наконец-то клуб.",1915,206
"— Алло, это общество экзорцистов-атеистов? Кажется, в меня вселился дьявол!
— В вас никто не вселился, дьявола нет.
— Ой, большое вам спасибо!
— Рады помочь.",2369,228
"Если вы слишком много работаете - заведите кота. Силой личного примера он перетянет вас на сторону истинных ценностей: отдыха и ленивого созерцания.",3228,425
"У гуманитария и технаря родился лирик-ядерщик.",3202,336
"- Это клуб любителей неточных пословиц?
- Не в бровь, а в квас!
- Как вас найти?
- Ищи ветра в попе.
- А у вас под лежачий камень вода не газированная?
- Ха! Рыбак рыбака видит, но не греет!",3114,389
"Отдам перфекционизм в хорошие, чистые, аккуратно подстриженные руки с красивыми пальцами.
Denis Vladimirov",2159,211
"— Я хотела бы, купить у вас автомобиль.
— Модель?
— Нет, бухгалтер. Но за комплимент, спасибо.",4543,481
"А вот эта моя татуировка — половина китайского иероглифа «Мужественность». Половина, потому что на середине сеанса я начал рыдать и упрашивать татуировщика остановиться.",2276,189
"— Ох, поставьте мне такой укол, чтоб я умерла...
— С удовольствием!
— Это шутка.
— Ватку прижмите.",3023,342
"До Колумба американцы были вынуждены жить в Европе.",2828,306
"Главное в решении любой проблемы — сначала её создать.",2725,473
"Крысы первыми бегут с корабля на бал.",1941,154
"— Тебе всегда всё не нравится. Жизнь, солнце, люди, птицы…
— С чего ты взял, что мне не нравится всё это дерьмо?",2174,255
"— Я чувствую, что меня все ненавидят.
— Не драматизируй. Тебя ненавидят только те, кто знаком с тобой.",2433,250
"— Если не прекратишь притворяться кассиром в супермаркете, я соберу свои вещи и уеду!
— Пакет нужен?",4166,464
"Сегодня резко проснулся из-за того, что думал, что опаздываю на работу. Открыл глаза - успокоился, я на работе.",3080,354
"Занимайся любимым делом и ты никогда не будешь работать. Кушать тоже редко будешь.",3802,407
"Когда мне говорят, что наутро я об этом пожалею, я сплю до обеда.",2963,331
"— Доктор, у меня проблема, я не могу открываться людям.
— А можно поподробнее?
— Нет.",3192,400
"Он сказал мне, что я плохой слушатель и чёт там еще.",3447,359
"— Ты меня слушаешь вообще?
— Да.
— Ну и о чем я сейчас говорила?
— О своей бабской фигне, как обычно.
— Ладно, на этот раз тебе повезло.",2161,180
"Мы тут как раз все сидим и обсуждаем твою паранойю.",2094,223
"Что может быть лучше вторника? Всё. Всё может быть лучше вторника.",1764,166
"Люблю долгие романтические прогулки с одной работы на другую.",2314,245
"Человек в среднем использует только 5% возможностей своего диплома.",2188,226
"Это сейчас скаты электрические, а в девятнадцатом веке они работали на угле и пару.",2675,291
"Обидно, когда твоя бабушка Сталина помнит, а тебя – нет.",2556,166
"Многие люди думают, что я топографический кретин. Но я не топографический.",2106,179
"Калеки по работе.",1804,171
"Мальчик с нестандартным мышлением, чтобы получить набор солдатиков, просит у отца Барби.",2011,174
"Держись от меня поближе.",2123,213
"— Знаешь, я тут понял, что ты мне симпатична. Даже не просто как друг, а как девушка. Может сходим куда-нибудь?
— Нашему сыну девять.",2789,194
"Незнание биологии не освобождает от разложения.",2198,232
"Пища боков.
Svetlana Alexeeva",1761,123
"У меня есть всё, но я не могу назвать себя полностью счастливым — пора подумать о детях. Черт, какие же они мерзкие. Всё, теперь счастлив.",2658,176
"Если женщины не обращают на вас внимания, попробуйте возглавить банк.",2146,198
"— Папа, знакомься, это Света.
— Отлично. А ты кто?",2578,223
"Показал себя с лучшей стороны. Все тактично отвернулись.",2021,195
"Плюсы и минусы приготовления еды:
Плюсы: еда.
Минусы: приготовление.",3323,442
"Слива: я слива лиловая, спелая, садовая.
Абрикос: я абрикос, на юге рос.
Шуфутинский: я календарь переверну, и снова третье сентября.",2659,287
"— Дорогая, чем это у нас так пахнет ?
— Газом.
— Моя ж ты хозяюшка.",2719,309
"Безработные часов не наблюдают.",2011,147
"Я бы сейчас не отказался от предложения, от которого невозможно отказаться.",2068,256
"Хочешь эту песню себе на мобильный? Отправь слово на наш короткий номер!
Не хочешь - отправь наш номер на короткое слово!",1860,169
"Унылая, пора!",2683,331
"Если проблему нельзя решить просто, реши её гениально.",2858,487
"Как можно спать, если в голове еще столько не проанализированных неудач?",2315,192
"Никогда не говори "никогда", говори - "некогда".",1973,252
"— Всё, теперь вам станет лучше. Я специалист, я знаю.
— Но я не замечаю, чтобы мне стало лучше.
— Это потому, что вы не специалист.",3216,490
"Он ушёл, оставив ей на память лишь учебник Русского языка, а она всё ещё скучала по ихним прогулкам.",2939,336
"Интересное наблюдение - кастрюля начинает жарить сразу же, как только перестает варить.",2339,252
"Потрясён, но не перемешан.",2113,231
"Нет ничего невозможного, если ты охуел до нужной степени.",3096,297
"– Я на твоем месте не общалась бы с этим типом.
– Это мой муж.",2482,263
"— Остановите это безумие на следующей остановке, пожалуйста.",1953,230
"— Она милая. Где ты её нашёл?
— На вокзале. Она дралась с собаками.",2158,211
"Полюбила ты меня, красавица ненаглядная, в образе человеческом; полюби же меня теперь в образе чудища безобразного.",1795,172
"Жена говорит, что я люблю одного из наших детей больше другого. Это неправда, я люблю Андрея и того, другого, одинаково.",1961,139
"Мы были бы отличной парой, если бы не ты.",2108,172
"Авторизация пользователя.

Чтобы доказать, что вы не робот, причините вред другому человеку, или своим бездействием допустите, чтобы человеку был причинен вред.
Ivan Safarov",2582,416
"И жили они долго и счастливо, аж противно.",2498,266
"На самом деле воображаемые друзья есть у всех. Вокруг тебя слишком много людей, которых ты воображаешь своими друзьями.",3053,375
"Они жили долго и счастливо, но так и не познакомились.",1878,189
"Я могу, в принципе, и не пить, но у меня нет такого принципа.",1993,190
"– Знаешь, что в тебе самое лучшее?
– Нет.
– Мои шоколадные вафли, которые ты сожрал.",3085,296
"Свадьба:
— Согласны ли вы взять в жены эту женщину?
— Нет.
— А эту?",3340,345
"— У тебя на уме одни сериалы. Я ухожу!
— Но мы вместе уже пять сезонов!",2105,181
"Если я не оправдал ваших ожиданий - продолжайте ожидать.",2080,312
"Я готов целовать костёр, на котором тебя казнили.",2785,292
"Это я-то нерешительный? Сомневаюсь..",2107,224
"Моя карьерная лестница ведет в подвал.",2801,300
"— Как ты объяснишь, что у тебя в телефоне номера каких-то баб?
— В смысле? Они диктовали номер, а я записывал, ты совсем что ли тупая?",2184,154
